D:\Lab Python\Lab_2\dataset3\00025.jpeg|dataset3\00025.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00027.jpeg|dataset3\00027.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00036.jpeg|dataset3\00036.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00044.jpeg|dataset3\00044.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00070.jpeg|dataset3\00070.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00071.jpeg|dataset3\00071.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00087.jpeg|dataset3\00087.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00100.jpeg|dataset3\00100.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00101.jpeg|dataset3\00101.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00124.jpeg|dataset3\00124.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00132.jpeg|dataset3\00132.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00138.jpeg|dataset3\00138.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00147.jpeg|dataset3\00147.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00154.jpeg|dataset3\00154.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00162.jpeg|dataset3\00162.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00187.jpeg|dataset3\00187.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00199.jpeg|dataset3\00199.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00205.jpeg|dataset3\00205.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00210.jpeg|dataset3\00210.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00217.jpeg|dataset3\00217.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00219.jpeg|dataset3\00219.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00224.jpeg|dataset3\00224.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00225.jpeg|dataset3\00225.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00228.jpeg|dataset3\00228.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00230.jpeg|dataset3\00230.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00238.jpeg|dataset3\00238.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00245.jpeg|dataset3\00245.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00262.jpeg|dataset3\00262.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00265.jpeg|dataset3\00265.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00283.jpeg|dataset3\00283.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00288.jpeg|dataset3\00288.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00294.jpeg|dataset3\00294.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00305.jpeg|dataset3\00305.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00308.jpeg|dataset3\00308.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00318.jpeg|dataset3\00318.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00320.jpeg|dataset3\00320.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00327.jpeg|dataset3\00327.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00335.jpeg|dataset3\00335.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00336.jpeg|dataset3\00336.jpeg|rose
D:\Lab Python\Lab_2\dataset3\00346.jpeg|dataset3\00346.jpeg|rose
